5_Calb_merged_trimmed_bwa_sorted_rmdup_realigned,T490
6_Calb_merged_trimmed_bwa_sorted_rmdup_realigned,SC5314
aleeza1_trimmed_sorted_rmdup_realigned,SC5314
aleeza2_trimmed_sorted_rmdup_realigned,T490
aleeza3_trimmed_sorted_rmdup_realigned,SC5314
aleeza4_trimmed_sorted_rmdup_realigned,FH1
aleeza5_trimmed_sorted_rmdup_realigned,T524
aleeza6_trimmed_sorted_rmdup_realigned,FH1
Aleeza7_S1_trimmed_sorted_rmdup_realigned,SC5314
Aleeza8_S2_trimmed_sorted_rmdup_realigned,T490
Aleeza9_S3_trimmed_sorted_rmdup_realigned,SC5314
Aleeza10_H7_trimmed_bwa_sorted_rmdup_realigned,
aleeza10_merged_trimmed_bwa_sorted_rmdup_realigned,SC5314
Aleeza13_S5_trimmed_sorted_rmdup_realigned,FH1
Aleeza14_S6_trimmed_sorted_rmdup_realigned,T524
Aleeza15_S7_trimmed_sorted_rmdup_realigned,FH1
Aleeza16_S8_trimmed_sorted_rmdup_realigned,FH1
aleeza17_trimmed_bwa_sorted_rmdup_realigned,T524
aleeza18_trimmed_bwa_sorted_rmdup_realigned,FH1
Aleeza19_S1_trimmed_bwa_sorted_rmdup_realigned,p75016
Aleeza20_S2_trimmed_bwa_sorted_rmdup_realigned,p75016
Aleeza22_S4_trimmed_bwa_sorted_rmdup_realigned,p75016
Aleeza23_S5_trimmed_bwa_sorted_rmdup_realigned,p75016
aleeza25_trimmed_bwa_sorted_rmdup_realigned,P75063
aleeza26_trimmed_bwa_sorted_rmdup_realigned,P75063
aleeza27_trimmed_bwa_sorted_rmdup_realigned,P75063
aleeza28_trimmed_bwa_sorted_rmdup_realigned,P75063
aleeza29_trimmed_bwa_sorted_rmdup_realigned,P75063
aleeza30_trimmed_bwa_sorted_rmdup_realigned,P75063
aleeza31_trimmed_bwa_sorted_rmdup_realigned,P78042
aleeza32_trimmed_bwa_sorted_rmdup_realigned,P78042
aleeza33_trimmed_bwa_sorted_rmdup_realigned,P78042
aleeza34_trimmed_bwa_sorted_rmdup_realigned,P78042
aleeza35_trimmed_bwa_sorted_rmdup_realigned,P78042
aleeza36_trimmed_bwa_sorted_rmdup_realigned,P78042
aleeza37_trimmed_bwa_sorted_rmdup_realigne,T524
aleeza38_trimmed_bwa_sorted_rmdup_realigned,T118
aleeza39_trimmed_bwa_sorted_rmdup_realigned,T524
aleeza40_trimmed_bwa_sorted_rmdup_realigned,T524
aleeza41_trimmed_bwa_sorted_rmdup_realigned,T118
aleeza42_trimmed_bwa_sorted_rmdup_realigned,T524
Aleeza-31-YpadEvol2A_trimmed_bwa_sorted_rmdup_realigned,P78042
Aleeza-31-YpadEvol2C_trimmed_bwa_sorted_rmdup_realigned,P78042
Aleeza_2B-Single_trimmed_bwa_sorted_rmdup_realigned,T490
Aleeza_5D-Single_trimmed_bwa_sorted_rmdup_realigned,T524
P10-A5_S1_trimmed_bwa_sorted_rmdup_realigned,SC5314
P10-C12_S3_trimmed_bwa_sorted_rmdup_realigned,FH1
P10-D11_S4_trimmed_bwa_sorted_rmdup_realigned,P75016
P10-E4_S5_trimmed_bwa_sorted_rmdup_realigned,T524
P10-F7_S6_trimmed_bwa_sorted_rmdup_realigned,P78042
P10-F7_S6_trimmed_bwa_sorted_rmdup_realigned,P78042
P10-G6_S7_trimmed_bwa_sorted_rmdup_realigned,
P10-H6_S8_trimmed_bwa_sorted_rmdup_realigned,SC5314
YPAD_B11-SC5314-AMS_trimmed_bwa_sorted_rmdup_realigned,SC5314
YPAD_C3-FH1-BWT_trimmed_bwa_sorted_rmdup_realigned,FH1
YPAD_C6-FH1-AMS_trimmed_bwa_sorted_rmdup_realigned,FH1
YPAD_D8-T524-AMS_trimmed_bwa_sorted_rmdup_realigned,AMS
YPAD_D8-T524-BWT_trimmed_bwa_sorted_rmdup_realigned,T524
YPAD_E1-P75016-AMS_trimmed_bwa_sorted_rmdup_realigned,p75016
YPAD_G2-P78042-AMS_trimmed_bwa_sorted_rmdup_realigned,P78042
YPAD_only_B4_BWT_trimmed_bwa_sorted_rmdup_realigned,SC5314
YPAD_only_F2_AMS_trimmed_bwa_sorted_rmdup_realigned,P75063
